hotel_id,current_star_rating,accommodation_type_name,chain,booking_date,checkin_date,checkout_date,booking_route_type,platform_group_name,is_cancelled,city_name,payment_type,payment_model,ADR
10112,4.0,Apartment,Chain,2024-12-12,2025-01-28,2025-02-02,Direct,Website,cancelled,New York,Credit Card,Pay Now,193.21
10082,3.0,Serviced Apartment,Chain,2024-05-22,2024-07-19,2024-07-20,Direct,Mobile App,not_cancelled,Austin,Debit Card,Pay Later,118.01
10194,2.0,Hotel,Chain,2024-06-25,2024-07-27,2024-08-03,Direct,Call Center,cancelled,Austin,Wallet,Pay Now,81.17
10143,3.0,Serviced Apartment,Independent,2024-02-10,2024-04-17,2024-04-24,Direct,Mobile App,cancelled,Austin,Wallet,Pay Now,118.26
10195,5.0,Resort,Independent,2024-11-27,2024-11-29,2024-12-05,Direct,Mobile App,cancelled,Seattle,Debit Card,Pay Now,180.59
10291,1.5,Resort,Chain,2024-06-10,2024-06-27,2024-06-28,Direct,Partner Portal,cancelled,San Francisco,Bank Transfer,Pay Later,93.5
10113,2.0,Apartment,Chain,2024-10-14,2024-11-10,2024-11-16,Direct,Partner Portal,not_cancelled,Miami,Credit Card,Pay Later,128.24
10240,4.0,Boutique Hotel,Chain,2024-11-01,2024-11-03,2024-11-07,Direct,Partner Portal,not_cancelled,Chicago,Credit Card,Pay Now,150.82
10135,4.0,Boutique Hotel,Independent,2024-02-27,2024-03-10,2024-03-12,Direct,Mobile App,not_cancelled,New York,Credit Card,Pay Later,232.35
10001,3.0,Boutique Hotel,Chain,2024-03-23,2024-04-19,2024-04-26,Direct,Partner Portal,not_cancelled,Boston,Credit Card,Pay Later,130.6
10036,3.0,Boutique Hotel,Independent,2024-01-30,2024-02-08,2024-02-13,Meta Search,Call Center,not_cancelled,New York,Debit Card,Pay at Property,179.11
10103,4.0,Resort,Chain,2024-04-18,2024-07-19,2024-07-26,Affiliate,Call Center,not_cancelled,Denver,Wallet,Pay Now,146.16
10031,1.5,Apartment,Chain,2024-01-11,2024-02-11,2024-02-13,Direct,Partner Portal,not_cancelled,Denver,Credit Card,Pay Later,102.13
10125,2.5,Serviced Apartment,Independent,2024-03-08,2024-04-21,2024-04-26,Meta Search,Website,not_cancelled,San Francisco,Debit Card,Pay Now,140.16
10056,3.5,Apartment,Chain,2024-01-28,2024-03-07,2024-03-13,Direct,Website,cancelled,New York,Bank Transfer,Pay Later,165.78
10026,5.0,Boutique Hotel,Independent,2024-08-14,2024-10-10,2024-10-17,Direct,Mobile App,not_cancelled,Seattle,Credit Card,Pay Now,191.41
10233,3.0,Resort,Chain,2024-01-31,2024-02-06,2024-02-07,Direct,Website,not_cancelled,Austin,Bank Transfer,Pay Later,112.91
10245,4.0,Boutique Hotel,Independent,2024-02-01,2024-03-20,2024-03-21,Direct,Website,cancelled,Seattle,Debit Card,Pay Now,185.37
10305,3.5,Hotel,Independent,2024-12-11,2025-02-18,2025-02-22,Direct,Call Center,cancelled,Chicago,Bank Transfer,Pay Now,157.44
10162,3.0,Hotel,Chain,2024-07-21,2024-07-25,2024-07-31,Meta Search,Call Center,not_cancelled,San Francisco,Credit Card,Pay Now,147.63
10155,3.0,Boutique Hotel,Independent,2024-02-05,2024-04-18,2024-04-21,Direct,Mobile App,cancelled,New York,Credit Card,Pay Later,140.43
10310,3.0,Apartment,Independent,2024-02-24,2024-04-11,2024-04-13,Meta Search,Call Center,not_cancelled,Boston,Debit Card,Pay Now,149.65
10135,1.5,Apartment,Independent,2024-11-20,2024-12-09,2024-12-12,Corporate,Mobile App,cancelled,Boston,Bank Transfer,Pay Now,89.3
10221,2.5,Apartment,Chain,2024-01-19,2024-03-21,2024-03-26,Meta Search,Website,not_cancelled,Chicago,Wallet,Pay at Property,125.85
10122,2.0,Apartment,Independent,2024-10-13,2024-12-27,2024-12-31,Direct,Partner Portal,not_cancelled,Chicago,Debit Card,Pay Now,102.77
10082,5.0,Hotel,Chain,2024-12-08,2025-02-15,2025-02-22,Direct,Website,cancelled,Miami,Credit Card,Pay Later,170.07
10143,3.0,Resort,Independent,2024-04-26,2024-05-04,2024-05-10,Direct,Website,not_cancelled,Denver,Bank Transfer,Pay at Property,93.89
10161,2.5,Serviced Apartment,Independent,2024-05-15,2024-05-16,2024-05-21,Corporate,Call Center,not_cancelled,San Francisco,Credit Card,Pay Now,170.6
